uuid,name,type,permalink,cb_url,rank,created_at,updated_at,category_groups_list
a402e198-e69b-eda2-2454-0bd8c09fd0df,PaaS,category,paas,https://www.crunchbase.com/category/paas,,2014-04-20 07:58:46,2018-02-13 00:59:11,Software
a326e225-acb8-f9c0-abfe-609a82b71965,Real Estate,category,real-estate,https://www.crunchbase.com/category/real-estate,,2014-04-20 07:58:46,2018-02-13 00:59:11,Real Estate
a0e2db7f-8397-b365-a8eb-8907eadf527a,Private Social Networking,category,private-social-networking,https://www.crunchbase.com/category/private-social-networking,,2014-04-20 07:58:46,2018-02-13 00:59:11,Community and Lifestyle
9f8132a0-2620-1f89-a2d2-fadbb3f16b4c,Wireless,category,wireless,https://www.crunchbase.com/category/wireless,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Hardware,Mobile"
9ea85399-55f4-8722-8d70-63271a266017,Lifestyle,category,lifestyle,https://www.crunchbase.com/category/lifestyle,,2014-04-20 07:58:46,2018-02-13 00:59:11,Community and Lifestyle
9c453c6c-2fe9-7f99-eed3-d39d6a05cb3a,Data Mining,category,data-mining,https://www.crunchbase.com/category/data-mining,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Data and Analytics,Information Technology"
99dcb039-c672-885e-6290-e0c72667e1f0,Incubators,category,incubators,https://www.crunchbase.com/category/incubators,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Financial Services,Lending and Investments"
99763baa-917d-488e-86e2-34bbbde18450,Risk Management,category,risk-management,https://www.crunchbase.com/category/risk-management,,2014-04-20 07:58:46,2018-02-13 00:59:11,Professional Services
98de1ee2-4c3b-be26-0f7b-46fddbbfe76d,Law Enforcement,category,law-enforcement,https://www.crunchbase.com/category/law-enforcement,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Government and Military,Privacy and Security"
9126275d-d470-1524-02f4-93d481721a6e,Medical,category,medical,https://www.crunchbase.com/category/medical,,2014-04-20 07:58:46,2018-02-13 00:59:11,Health Care
90b4194f-1d4f-ff5c-d7a6-6b6f32ae4892,Financial Services,category,financial-services,https://www.crunchbase.com/category/financial-services,,2014-04-20 07:58:46,2018-02-13 00:59:11,Financial Services
8fae7891-8002-aee2-311a-92b253c892d8,Biometrics,category,biometrics,https://www.crunchbase.com/category/biometrics,,2014-04-20 07:58:46,2018-02-13 00:59:11,"Biotechnology,Data and Analytics,Science and Engineering"
8ebedea6-e4a7-8594-ac16-33e3cfef7634,Local,category,local-8ebe,https://www.crunchbase.com/category/local-8ebe,,2014-04-20 07:58:46,2018-02-13 00:59:11,Sales and Marketing
8a20023f-3e32-20bb-b6ab-e824a0386367,Aerospace,category,aerospace-8a20,https://www.crunchbase.com/category/aerospace-8a20,,2014-04-20 07:58:46,2018-02-13 00:59:11,Science and Engineering
